caseid,activity,activity_no,y_acc_sum,n_t,u_t,z_t,h_t,b_t,q_t,s_t,v_t,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,c,1,5.3592665698821556,2.207327989983279,5.3592665698821556,2.207327989983279,0.04100000113248825,0.13084527904943669,2.379173270165204,0.12082672983479581,3.0311118500640806,2022-12-25 04:58:33,2022-12-25 12:00:00,2022-12-28 08:37:20,Sunday,12
0,d,2,13.332921248455428,5.3592665698821556,7.973654678573272,2.207327989983279,0.0,0.2616239751744511,5.620890545056606,1.8791094549433938,0.7352786537477226,2022-12-28 08:37:20,2022-12-30 12:00:00,2022-12-30 23:22:03,Friday,12
0,c,3,22.244692822876093,7.973654678573272,8.911771574420666,2.207327989983279,0.0820000022649765,0.12367729584156044,1.1793319766798085,0.3206680233201915,0.6174488725272014,2022-12-30 23:22:03,2022-12-24 12:00:00,2022-12-31 21:52:57,Saturday,12
0,d,4,31.62681416191417,8.911771574420666,9.382121339038074,2.207327989983279,0.0820000022649765,0.0525028553270204,2.0462744320126625,0.45372556798733754,0.01662419663006999,2022-12-31 21:52:57,2022-12-25 12:00:00,2023-01-01 09:10:15,Sunday,12
1,c,1,4.669536971360584,4.385238468615464,4.669536971360584,4.385238468615464,0.04100000113248825,0.12127061060607795,4.54750908035403,0.0,0.28429850274512003,2022-12-27 09:14:44,2022-12-27 13:08:24,2022-12-27 16:04:07,Tuesday,13
1,e,2,9.82467195957414,4.669536971360584,5.155134988213556,4.385238468615464,0.0820000022649765,0.1572113003605514,4.908748273986112,0.0,0.48559801685297177,2022-12-27 16:04:07,2022-12-27 21:48:35,2022-12-28 03:43:23,Tuesday,21
1,f,3,16.979872174167337,5.155134988213556,7.155200214593198,4.385238468615464,0.0820000022649765,0.26785065811874675,5.504985648597279,1.9950143514027214,0.005050874976921256,2022-12-28 03:43:23,2022-12-30 12:00:00,2022-12-30 03:43:29,Friday,12
1,c,4,24.31807649114169,7.155200214593198,7.338204316974354,4.385238468615464,0.12300000339746475,0.10396020979935056,0.382160427790013,0.11783957220998698,0.06516453017116847,2022-12-30 03:43:29,2022-12-23 12:00:00,2022-12-30 08:07:00,Friday,12
1,f,5,31.75113269535121,7.338204316974354,7.43305620420952,4.385238468615464,0.04100000113248825,0.026257264965756193,0.40546158307259805,0.09453841692740195,0.0003134703077641197,2022-12-30 08:07:00,2022-12-23 12:00:00,2022-12-30 10:23:36,Friday,12
1,e,6,39.34425816484289,7.43305620420952,7.593125469491682,4.385238468615464,0.0820000022649765,0.001267638802577812,0.516323845277074,0.0,0.1600692652821614,2022-12-30 10:23:36,2022-12-23 12:23:30,2022-12-30 14:14:06,Friday,12
1,f,7,47.213780009217515,7.593125469491682,7.869521844374628,4.385238468615464,0.0820000022649765,0.143676793032699,0.8188022647893574,0.0,0.27639637488294655,2022-12-30 14:14:06,2022-12-23 19:39:04,2022-12-30 20:52:06,Friday,19
1,b,8,57.72745874344028,7.869521844374628,10.513678734222765,4.385238468615464,0.0820000022649765,0.048284770561115575,0.9998066172007203,0.0,2.644156889848137,2022-12-30 20:52:06,2022-12-23 23:59:43,2023-01-02 12:19:41,Friday,23
2,b,1,7.997532916935496,6.341061423776345,7.997532916935496,6.341061423776345,0.0,0.010602042749186615,6.351663466525532,1.1483365334744677,0.5081349596846828,2022-12-29 08:11:07,2022-12-30 12:00:00,2022-12-30 23:56:26,Friday,12
