caseid,activity,activity_no,y_acc_sum,n_t,u_t,z_t,h_t,b_t,q_t,s_t,v_t,arrival_datetime,start_datetime,end_datetime,start_day,start_hour
0,h,1,0.9773171639792726,0.11985783003512436,0.9773171639792726,0.11985783003512436,0.0820000022649765,0.02221881860238766,0.22407665090248852,0.2759233490975115,0.5815359848466368,2022-12-23 02:52:35,2022-12-23 12:00:00,2022-12-23 23:27:20,Friday,12
0,i,2,2.576689445150481,0.9773171639792726,1.5993722811712083,0.11985783003512436,0.0820000022649765,0.027033073953070502,1.0863502401973195,0.4136497598026805,0.20840535738925517,2022-12-23 23:27:20,2022-12-24 12:00:00,2022-12-24 14:23:05,Saturday,12
0,j,3,4.372554220289572,1.5993722811712083,1.7958647751390915,0.11985783003512436,0.0820000022649765,0.07996993792186534,1.76134222135805,0.0,0.19649249396788313,2022-12-24 14:23:05,2022-12-24 18:16:19,2022-12-24 19:06:02,Saturday,18
0,k,4,6.625813998873301,1.7958647751390915,2.2532597785837294,0.11985783003512436,0.04100000113248825,0.0017267810322599301,1.8385915573038396,0.0,0.45739500344463774,2022-12-24 19:06:02,2022-12-24 20:07:34,2022-12-25 06:04:41,Saturday,20
0,d,5,9.024415954453408,2.2532597785837294,2.3986019555801064,0.11985783003512436,0.0820000022649765,0.12069327567975947,2.4559530565284655,0.04404694347153448,0.10129523352484261,2022-12-25 06:04:41,2022-12-25 12:00:00,2022-12-25 09:33:59,Sunday,12
0,b,6,11.591734228037781,2.3986019555801064,2.5673182735843736,0.11985783003512436,0.0820000022649765,0.00964677224621307,2.490248730091296,0.009751269908703897,0.1589650480955633,2022-12-25 09:33:59,2022-12-25 12:00:00,2022-12-25 13:36:56,Sunday,12
0,e,7,14.66757516782752,2.5673182735843736,3.0758409397897384,0.11985783003512436,0.0820000022649765,0.039692700969032456,2.6890109768183827,0.0,0.5085226662053647,2022-12-25 13:36:56,2022-12-25 16:32:10,2022-12-26 01:49:12,Sunday,16
0,f,8,19.294776961852758,3.0758409397897384,4.627201794025238,0.11985783003512436,0.0820000022649765,0.026639689069472748,3.1844806311241878,0.3155193688758122,1.2358414853596869,2022-12-26 01:49:12,2022-12-26 12:00:00,2022-12-27 15:03:10,Monday,12
0,c,9,24.00350238486353,4.627201794025238,4.708725423010774,0.11985783003512436,0.0820000022649765,0.00748086788714167,4.716682664177356,0.0,0.08152362898553595,2022-12-27 15:03:10,2022-12-27 17:12:01,2022-12-27 17:00:33,Tuesday,17
0,g,10,29.048699390219248,4.708725423010774,5.045197005355719,0.11985783003512436,0.04100000113248825,0.020765341561271987,4.770490765704534,0.0,0.3364715823449454,2022-12-27 17:00:33,2022-12-27 18:29:30,2022-12-28 01:05:05,Tuesday,18
1,h,1,4.250213982852242,3.7377357749722564,4.250213982852242,3.7377357749722564,0.04100000113248825,0.0031544032560066127,3.7818901793607513,0.0,0.5124782078799852,2022-12-26 17:42:20,2022-12-26 18:45:55,2022-12-27 06:00:18,Monday,18
1,i,2,9.263440651468176,4.250213982852242,5.013226668615935,3.7377357749722564,0.0820000022649765,0.0703469203278962,4.402560905445115,0.09743909455488531,0.6655735912088074,2022-12-27 06:00:18,2022-12-27 12:00:00,2022-12-28 00:19:02,Tuesday,12
1,j,3,17.040200411877045,5.013226668615935,7.7767597604088685,3.7377357749722564,0.04100000113248825,0.009450312654342239,5.063676982402765,2.4363230175972346,0.3272100741956995,2022-12-28 00:19:02,2022-12-30 12:00:00,2022-12-30 18:38:32,Friday,12
1,k,4,24.981733518313952,7.7767597604088685,7.941533106436909,3.7377357749722564,0.0820000022649765,0.09062032191446596,0.9493800845883111,0.0,0.16477334602804036,2022-12-30 18:38:32,2022-12-23 22:47:06,2022-12-30 22:35:48,Friday,22
1,d,5,33.31751742541502,7.941533106436909,8.33578390710107,3.7377357749722564,0.04100000113248825,0.1470338304365987,1.1295669380059952,0.37043306199400483,0.02381773867015782,2022-12-30 22:35:48,2022-12-24 12:00:00,2022-12-31 08:03:31,Saturday,12
1,b,6,42.66836120999639,8.33578390710107,9.350843784581372,3.7377357749722564,0.04100000113248825,0.13813054720816595,1.5149144554417244,0.0,1.0150598774803017,2022-12-31 08:03:31,2022-12-24 12:21:28,2023-01-01 08:25:12,Saturday,12
